docid,best_match,score
164000170.pdf_6,PPE-Executive summary.pdf_8,0.33984375
164000170.pdf_7,PPE-Executive summary.pdf_31,0.376953125
164000170.pdf_9,PPE-Executive summary.pdf_31,0.39453125
164000170.pdf_12,Energy pathways 2050_Key results.pdf_3,0.404296875
164000170.pdf_14,PPE-Executive summary.pdf_31,0.41015625
164000170.pdf_16,catalogue_solutions_laboretd_edf_en.pdf_41,0.3046875
164000170.pdf_19,PPE-Executive summary.pdf_33,0.330078125
164000170.pdf_24,Garve-District-Community-Development-2019-2024.pdf_1,0.388671875
164000170.pdf_29,catalogue_solutions_laboretd_edf_en.pdf_41,0.2734375
164000170.pdf_30,catalogue_solutions_laboretd_edf_en.pdf_41,0.27734375
164000170.pdf_31,the-essentials-2020-2021-veolia-en.pdf_0,0.296875
164000170.pdf_33,catalogue_solutions_laboretd_edf_en.pdf_27,0.330078125
164000170.pdf_34,catalogue_solutions_laboretd_edf_en.pdf_41,0.3515625
164000170.pdf_37,PPE-Executive summary.pdf_31,0.33984375
164000170.pdf_39,Garve-District-Community-Development-2019-2024.pdf_1,0.369140625
164000170.pdf_44,PPE-Executive summary.pdf_31,0.33203125
164000170.pdf_47,catalogue_solutions_laboretd_edf_en.pdf_41,0.330078125
164000170.pdf_49,Garve-District-Community-Development-2019-2024.pdf_5,0.326171875
164000170.pdf_50,Garve-District-Community-Development-2019-2024.pdf_5,0.294921875
164000170.pdf_51,PPE-Executive summary.pdf_31,0.37109375
164000170.pdf_52,PPE-Executive summary.pdf_31,0.384765625
164000170.pdf_54,Garve-District-Community-Development-2019-2024.pdf_31,0.248046875
164000170.pdf_55,Garve-District-Community-Development-2019-2024.pdf_31,0.279296875
164000170.pdf_56,PPE-Executive summary.pdf_31,0.294921875
164000170.pdf_57,CountryReport2021_France_final.pdf_11,0.365234375
164000170.pdf_59,offshore-wind-handbook-2023.pdf_46,0.28125
164000170.pdf_60,catalogue_solutions_laboretd_edf_en.pdf_41,0.287109375
164000170.pdf_64,catalogue_solutions_laboretd_edf_en.pdf_41,0.2890625
164000170.pdf_65,France NPF (EN).pdf_53,0.2890625
164000170.pdf_69,the-essentials-2020-2021-veolia-en.pdf_0,0.35546875
164000170.pdf_70,catalogue_solutions_laboretd_edf_en.pdf_41,0.310546875
164000170.pdf_71,Garve-District-Community-Development-2019-2024.pdf_11,0.33984375
164000170.pdf_74,PPE-Executive summary.pdf_31,0.375
164000170.pdf_75,catalogue_solutions_laboretd_edf_en.pdf_159,0.27734375
